airport,total_delays_ct,longitude,latitude
FAI,15.0,11.0689304,46.1793313
FAT,7.0,124.6290998,-9.9020987
FLL,10.0,-87.97114,46.424572
GEG,28.0,5.709592250000002,45.19402575
HNL,50.0,1.7524348584139826,52.4748963
IAD,34.0,-43.3744102,-21.7788848
IAH,30.0,-79.6311401,43.485555
IND,12.0,-86.1746933,40.3270127
JAC,2.0,18.1360358,48.5918367
JFK,105.0,-73.7793733748521,40.6429479
JNU,36.0,77.167608,28.549507
KOA,13.0,140.5021749,-7.8965141
KTN,16.0,129.8903104539919,32.7461606
LAS,133.0,0.3098676,43.4697786
LAX,123.0,-83.1215404,31.4732507
LIH,9.0,-159.33671538390365,21.97206585
MCI,11.0,11.392882331230885,47.26281635
MCO,51.0,-100.91964965,29.44530225
MIA,10.0,165.9807237,-21.5549167
MKE,7.0,15.115839336574236,48.8638011
MSP,18.0,57.1743114,50.2863237
MSY,18.0,138.58985442726532,-34.925185299999995
OAK,10.0,-88.517825,37.5764379
OGG,31.0,-101.8901892,34.8353363
OKC,11.0,22.866730976243858,43.9818686
OMA,8.0,-7.3029907,54.5992486
OME,6.0,139.238128,35.803601
ONT,29.0,-86.000977,50.000678
ORD,76.0,-94.0710625,41.2511017
OTZ,3.0,10.8896272,48.5923103
PAE,9.0,24.034245145416094,59.19113755
PDX,183.0,-122.67777,45.5255102
PHL,14.0,102.6007983,15.8137152
PHX,94.0,-112.36551,33.409092
PIT,3.0,-1.1063789,44.4765421
PSC,11.0,-75.894495,41.23857235
PSG,2.0,-97.410413,32.823238
PSP,7.0,44.8668457,41.6907
RDM,11.0,45.393795,14.832183
RDU,11.0,-78.79765,35.870371
RNO,4.0,30.7383222,57.9159394
RSW,4.0,6.4934556,49.9989624
SAN,129.0,3.282606,48.1978559
SAT,14.0,-7.7336741,40.7426067
SBA,5.0,56.7028366,22.7382098
SCC,3.0,-121.4885331,38.5405798
SEA,828.0,126.9782914,37.5666791
SFO,257.0,9.780981751762262,54.92108795
SIT,10.0,-135.36319363134277,57.04768055
SJC,41.0,-106.03875579447538,36.09509
SLC,9.0,-51.20556320285798,-30.044138
SMF,9.0,57.49604476883336,-20.29515195
SNA,32.0,44.2,15.35
